carparkID,name,carparkOccupancy,timestamp
3,Raffles City,-37,27-09-2023 00:00:00
3,Raffles City,-39,27-09-2023 00:01:00
3,Raffles City,-39,27-09-2023 00:02:00
3,Raffles City,-39,27-09-2023 00:03:00
3,Raffles City,-39,27-09-2023 00:04:00
3,Raffles City,-39,27-09-2023 00:05:00
3,Raffles City,-39,27-09-2023 00:06:00
3,Raffles City,-41,27-09-2023 00:07:00
3,Raffles City,-41,27-09-2023 00:08:00
3,Raffles City,-41,27-09-2023 00:09:00
3,Raffles City,-40,27-09-2023 00:10:00
3,Raffles City,-40,27-09-2023 00:11:00
3,Raffles City,-40,27-09-2023 00:12:00
3,Raffles City,-40,27-09-2023 00:13:01
3,Raffles City,-40,27-09-2023 00:14:00
3,Raffles City,-40,27-09-2023 00:15:01
3,Raffles City,-40,27-09-2023 00:16:01
3,Raffles City,-41,27-09-2023 00:17:01
3,Raffles City,-41,27-09-2023 00:18:01
3,Raffles City,-41,27-09-2023 00:19:01
3,Raffles City,-42,27-09-2023 00:20:00
3,Raffles City,-42,27-09-2023 00:21:00
3,Raffles City,-42,27-09-2023 00:22:00
3,Raffles City,-43,27-09-2023 00:23:00
3,Raffles City,-43,27-09-2023 00:24:00
3,Raffles City,-43,27-09-2023 00:25:00
3,Raffles City,-46,27-09-2023 00:26:00
3,Raffles City,-46,27-09-2023 00:27:00
3,Raffles City,-46,27-09-2023 00:28:00
3,Raffles City,-45,27-09-2023 00:29:00
3,Raffles City,-45,27-09-2023 00:30:00
3,Raffles City,-45,27-09-2023 00:31:00
3,Raffles City,-45,27-09-2023 00:32:00
3,Raffles City,-45,27-09-2023 00:33:00
3,Raffles City,-45,27-09-2023 00:34:00
3,Raffles City,-45,27-09-2023 00:35:00
3,Raffles City,-45,27-09-2023 00:36:00
3,Raffles City,-45,27-09-2023 00:37:00
3,Raffles City,-45,27-09-2023 00:38:00
3,Raffles City,-45,27-09-2023 00:39:01
3,Raffles City,-45,27-09-2023 00:40:00
3,Raffles City,-45,27-09-2023 00:41:01
3,Raffles City,-45,27-09-2023 00:42:01
3,Raffles City,-46,27-09-2023 00:43:01
3,Raffles City,-46,27-09-2023 00:44:01
3,Raffles City,-46,27-09-2023 00:45:01
3,Raffles City,-45,27-09-2023 00:46:01
3,Raffles City,-45,27-09-2023 00:47:00
3,Raffles City,-45,27-09-2023 00:48:00
3,Raffles City,-45,27-09-2023 00:49:00
3,Raffles City,-46,27-09-2023 00:50:00
3,Raffles City,-46,27-09-2023 00:51:00
3,Raffles City,-46,27-09-2023 00:52:00
3,Raffles City,-46,27-09-2023 00:53:00
3,Raffles City,-46,27-09-2023 00:54:00
3,Raffles City,-46,27-09-2023 00:55:00
3,Raffles City,-46,27-09-2023 00:56:00
3,Raffles City,-46,27-09-2023 00:57:00
3,Raffles City,-46,27-09-2023 00:58:00
3,Raffles City,-46,27-09-2023 00:59:00
3,Raffles City,-46,27-09-2023 01:00:00
3,Raffles City,-46,27-09-2023 01:01:00
3,Raffles City,-46,27-09-2023 01:02:00
3,Raffles City,-47,27-09-2023 01:03:00
3,Raffles City,-47,27-09-2023 01:04:01
3,Raffles City,-47,27-09-2023 01:05:00
3,Raffles City,-47,27-09-2023 01:06:01
3,Raffles City,-47,27-09-2023 01:07:00
3,Raffles City,-47,27-09-2023 01:08:00
3,Raffles City,-47,27-09-2023 01:09:00
3,Raffles City,-47,27-09-2023 01:10:01
3,Raffles City,-47,27-09-2023 01:11:01
3,Raffles City,-47,27-09-2023 01:12:01
3,Raffles City,-48,27-09-2023 01:13:01
3,Raffles City,-48,27-09-2023 01:14:01
