carparkID,name,carparkOccupancy,timestamp
1,Suntec City,346,15-09-2023 00:00:00
1,Suntec City,345,15-09-2023 00:01:01
1,Suntec City,345,15-09-2023 00:02:00
1,Suntec City,345,15-09-2023 00:03:01
1,Suntec City,345,15-09-2023 00:04:01
1,Suntec City,337,15-09-2023 00:05:01
1,Suntec City,337,15-09-2023 00:06:01
1,Suntec City,337,15-09-2023 00:07:00
1,Suntec City,335,15-09-2023 00:08:01
1,Suntec City,335,15-09-2023 00:09:00
1,Suntec City,335,15-09-2023 00:10:00
1,Suntec City,335,15-09-2023 00:11:00
1,Suntec City,328,15-09-2023 00:12:00
1,Suntec City,328,15-09-2023 00:13:00
1,Suntec City,328,15-09-2023 00:14:00
1,Suntec City,327,15-09-2023 00:15:00
1,Suntec City,327,15-09-2023 00:16:00
1,Suntec City,327,15-09-2023 00:17:00
1,Suntec City,326,15-09-2023 00:18:00
1,Suntec City,326,15-09-2023 00:19:00
1,Suntec City,326,15-09-2023 00:20:00
1,Suntec City,326,15-09-2023 00:21:00
1,Suntec City,319,15-09-2023 00:22:00
1,Suntec City,319,15-09-2023 00:23:00
1,Suntec City,319,15-09-2023 00:24:00
1,Suntec City,316,15-09-2023 00:25:00
1,Suntec City,316,15-09-2023 00:26:00
1,Suntec City,316,15-09-2023 00:27:00
1,Suntec City,313,15-09-2023 00:28:00
1,Suntec City,313,15-09-2023 00:29:00
1,Suntec City,313,15-09-2023 00:30:00
1,Suntec City,309,15-09-2023 00:31:00
1,Suntec City,309,15-09-2023 00:32:00
1,Suntec City,309,15-09-2023 00:33:01
1,Suntec City,309,15-09-2023 00:34:00
1,Suntec City,306,15-09-2023 00:35:01
1,Suntec City,306,15-09-2023 00:36:01
1,Suntec City,306,15-09-2023 00:37:01
1,Suntec City,307,15-09-2023 00:38:01
1,Suntec City,307,15-09-2023 00:39:01
1,Suntec City,307,15-09-2023 00:40:01
1,Suntec City,307,15-09-2023 00:41:00
1,Suntec City,302,15-09-2023 00:42:00
1,Suntec City,302,15-09-2023 00:43:00
1,Suntec City,302,15-09-2023 00:44:00
1,Suntec City,292,15-09-2023 00:45:00
1,Suntec City,292,15-09-2023 00:46:00
1,Suntec City,292,15-09-2023 00:47:00
1,Suntec City,292,15-09-2023 00:48:00
1,Suntec City,292,15-09-2023 00:49:00
1,Suntec City,292,15-09-2023 00:50:00
1,Suntec City,291,15-09-2023 00:51:00
1,Suntec City,291,15-09-2023 00:52:00
1,Suntec City,291,15-09-2023 00:53:00
1,Suntec City,291,15-09-2023 00:54:00
1,Suntec City,287,15-09-2023 00:55:00
1,Suntec City,287,15-09-2023 00:56:00
1,Suntec City,287,15-09-2023 00:57:00
1,Suntec City,288,15-09-2023 00:58:00
1,Suntec City,288,15-09-2023 00:59:00
1,Suntec City,288,15-09-2023 01:00:00
1,Suntec City,285,15-09-2023 01:01:00
1,Suntec City,285,15-09-2023 01:02:00
1,Suntec City,285,15-09-2023 01:03:00
1,Suntec City,285,15-09-2023 01:04:00
1,Suntec City,285,15-09-2023 01:05:01
1,Suntec City,285,15-09-2023 01:06:00
1,Suntec City,285,15-09-2023 01:07:00
1,Suntec City,285,15-09-2023 01:08:00
1,Suntec City,285,15-09-2023 01:09:00
1,Suntec City,285,15-09-2023 01:10:01
1,Suntec City,285,15-09-2023 01:11:01
1,Suntec City,285,15-09-2023 01:12:01
1,Suntec City,285,15-09-2023 01:13:01
1,Suntec City,283,15-09-2023 01:14:00
1,Suntec City,283,15-09-2023 01:15:00
1,Suntec City,283,15-09-2023 01:16:00
1,Suntec City,283,15-09-2023 01:17:00
1,Suntec City,283,15-09-2023 01:18:00
1,Suntec City,283,15-09-2023 01:19:00
1,Suntec City,283,15-09-2023 01:20:00
1,Suntec City,279,15-09-2023 01:21:00
1,Suntec City,279,15-09-2023 01:22:00
1,Suntec City,279,15-09-2023 01:23:00
1,Suntec City,277,15-09-2023 01:24:00
1,Suntec City,277,15-09-2023 01:25:00
1,Suntec City,277,15-09-2023 01:26:00
1,Suntec City,273,15-09-2023 01:27:00
1,Suntec City,273,15-09-2023 01:28:00
1,Suntec City,273,15-09-2023 01:29:00
1,Suntec City,273,15-09-2023 01:30:00
1,Suntec City,272,15-09-2023 01:31:00
1,Suntec City,272,15-09-2023 01:32:00
1,Suntec City,272,15-09-2023 01:33:00
1,Suntec City,271,15-09-2023 01:34:00
1,Suntec City,271,15-09-2023 01:35:00
1,Suntec City,271,15-09-2023 01:36:00
1,Suntec City,271,15-09-2023 01:37:00
1,Suntec City,271,15-09-2023 01:38:00
1,Suntec City,271,15-09-2023 01:39:00
1,Suntec City,271,15-09-2023 01:40:00
1,Suntec City,271,15-09-2023 01:41:00
1,Suntec City,271,15-09-2023 01:42:00
1,Suntec City,270,15-09-2023 01:43:01
1,Suntec City,270,15-09-2023 01:44:01
1,Suntec City,270,15-09-2023 01:45:01
1,Suntec City,270,15-09-2023 01:46:01
1,Suntec City,268,15-09-2023 01:47:01
1,Suntec City,268,15-09-2023 01:48:01
